"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"25674","Travelers Property Casualty Company of America","0","0","2","0","2","25.111872","21","2021"
"11908","Mercury Casualty Company","0","0","2","5","7","22.7845265","22","2021"
"38288","Hartford Insurance Company of Illinois","0","0","0","3","3","20.7973685","23","2021"
"11252","Encompass Home and Auto Insurance Company","0","0","3","5","8","19.035665","24","2021"
"12901","Merchants Preferred Insurance Company","0","0","3","3","6","18.388918","25","2021"
"13803","Farm Family Casualty Insurance Company","0","0","0","5","5","17.572805","26","2021"
"11044","National General Insurance Online, Inc.","0","0","1","4","5","16.4483605","27","2021"
"11215","SAFECO Insurance Company of Indiana","0","0","1","1","2","14.741821","28","2021"
"34789","21st Century Centennial Insurance Company","0","0","2","7","9","12.9506595","29","2021"
"11185","Foremost Insurance Company Grand Rapids, Michigan","0","0","0","1","1","12.8634725","30","2021"
"40231","Old Dominion Insurance Company","0","0","1","3","4","12.4055955","31","2021"
"20303","Great Northern Insurance Company","0","0","0","0","0","12.25098","32","2021"
"12504","AMERICAN FAMILY CONNECT INSURANCE COMPANY","0","0","0","2","2","11.793778","33","2021"
"25976","Utica Mutual Insurance Company","0","0","0","1","1","9.6182535","34","2021"
"36137","Travelers Commercial Insurance Company","0","0","1","0","1","8.7541905","35","2021"
"23582","Harleysville Insurance Company","0","0","0","0","0","8.20986","36","2021"
"21261","Electric Insurance Company","0","0","0","0","0","8.000019","37","2021"
"37478","Hartford Insurance Company of the Midwest","0","0","0","1","1","7.674281","38","2021"
"33588","First Liberty Insurance Corporation","0","0","0","1","1","7.1381305","39","2021"
"29068","AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE COMPANY","0","0","1","5","6","6.69423","40","2021"
"20230","Central Mutual Insurance Company","0","0","0","0","0","6.626737","41","2021"
"19240","Allstate Indemnity Company","0","0","0","1","1","6.570263","42","2021"
"23450","American Family Home Insurance Company","0","0","0","0","0","6.508139","43","2021"
"12777","Chubb Indemnity Insurance Company","0","0","0","0","0","6.3748395","44","2021"
"16578","Stillwater Property and Casualty Insurance Company","0","0","0","1","1","6.3608065","45","2021"
"40649","Economy Premier Assurance Company","0","0","0","0","0","6.2473535","46","2021"
"29939","Main Street America Assurance Company","0","0","2","2","4","6.2229855","47","2021"
"23469","American Modern Home Insurance Company","0","0","0","1","1","5.7485495","48","2021"
"42447","National General Assurance Company","0","0","0","0","0","5.2302265","49","2021"
"25909","Unitrin Preferred Insurance Company","0","0","0","2","2","5.180874","50","2021"
"12831","State National Insurance Company, Inc.","0","0","1","0","1","4.9751015","51","2021"
"25623","Phoenix Insurance Company","0","0","0","0","0","4.9182135","52","2021"
"18058","Philadelphia Indemnity Insurance Company","0","0","1","0","1","4.670711","53","2021"
"12475","Republic-Franklin Insurance Company","0","0","1","0","1","4.6128375","54","2021"
"22748","Pacific Employers Insurance Company","0","0","0","1","1","4.482087","55","2021"
"19062","Automobile Insurance Company of Hartford, Connecticut","0","0","0","3","3","4.239431","56","2021"
"10071","Encompass Insurance Company of America","0","0","0","1","1","4.152507","57","2021"
